csl.6.3.18	P 18	Q000811
csl.6.3.19	P 19	Q000812
csl.6.3.21	P 21	Q000813
csl.6.3.22	P 22	Q000814
csl.6.3.23	P 23	Q000815
csl.6.3.24	P 24	Q000816
csl.6.3.25	P 25	Q000817
csl.6.3.27	P 27	Q000819
csl.6.3.28	P 28	Q000820
csl.6.3.99	P Frag	Q000825
csl.6.4.01		Q002405
csl.6.4.02		Q002406
csl.6.6.01		
csl.6.6.02		
csl.7.99	unid.	Q002409
