aʾa[unmng]V/i	a-a	rr	a·a
ir[plunder]V/t	ir-ir	RR	ir·ir
kad[open]V/t	kad-kad	RR	kad·kad
kad[tie]V/t	kad₃-kad₃	RR	kad·kad
kad[tie]V/t	kad₄-kad₄	RR	kad·kad
kal[rare]V/i	kal-kal	RR	kal·kal
kalag[strong]V/i	kalag-kalag	RR	kalag·kalag
kar[blow]V/i	gar-gar	rr	gar·gar
kar[blow]V/i	gar-gar	rr	gar·gar
kar[blow]V/i	kar-kar	RR	kar·kar
kar[blow]V/i	kar₂(GAN₂)-kar₂(GAN₂)	rr	kar(GAN)·kar(GAN)
kar[blow]V/i	kar₂-kar₂	RR	kar·kar
kar[blow]V/i	kar₂-kar₂	RR	kar·kar
kar[flee]V/i	kar-kar	RR	kar·kar
karag[insult]V/t	kar₂-kar₂	rr	kar·kar
kaš[run]V/i	kas₅-kas₅	rr	kas·kas
kaš[run]V/i	kaš₄-kaš₄	RR	kaš·kaš
kešed[bind]V/t	keš₂-keš₂	rr	keš·keš
kid[break]V/t	gir₈-gir₈	rr	gir·gir
kid[cut]V/t	kid₂-kid₂	RR	kid·kid
kid[cut]V/t	kid₇-kid₇	RR	kid·kid
kiŋ[seek]V/t	kiŋ₂-kiŋ₂	RR	kiŋ·kiŋ
kir[grovel]V/t	gur₄-gur₄	rr	gur·gur
kiz[bend?]V/t	ki-iz-ki-iz	R′R′	ki°iz·ki°iz
ku[place]V/t	ku-ku	RR	ku·ku
ku[place]V/t	ku-ku	RR	ku·ku
ku[place]V/t	ku₄-ku₄	RR	ku·ku
KU.KU[sue]V/t	KU-KU	rr	KU·KU
kud[cut]V/t	ku-ku	rr	ku·ku
kud[cut]V/t	kud-kud	RR	kud·kud
kud[cut]V/t	ku₄-ku₄	rr	ku·ku
kud[cut]V/t	ku₇-ku₇	rr	ku·ku
kud[sweet]V/i	ku₄-ku₄	rr	ku·ku
kud[sweet]V/i	ku₇-ku₇	rr	ku·ku
kug[pure]V/i	ku-ku	rr	ku·ku
kug[pure]V/i	ku₃-ku₃	rr	ku·ku
kukkug[dark]V/i	ku₁₀-ku₁₀	rr	ku·ku
kuku[cvve]V/t	tu-tu	rr	tu·tu
kul[beautiful]V/i	kul-kul	RR	kul·kul
kul[collect]V/t	kul-kul	RR	kul·kul
kun[shine]V/i	kun₂-kun₂	RR	kun·kun
kur[burn]V/t	kur-ku	Rr	kur·ku
kur[different]V/i	kur₂-kur₂	RR	kur·kur
kur[enter]V/i	gu₄-gu₄	rr	gu·gu
kur[enter]V/i	ku-ku	rr	ku·ku
kur[enter]V/i	kur-kur	RR	kur·kur
kur[enter]V/i	ku₄-ku₄	rr	ku·ku
kur[enter]V/i	ku₄-ku₄-ku₄	rrr	ku·ku·ku
kur[enter]V/i	kuₓ(DU)-kuₓ(DU)	rr	ku·ku
kur[enter]V/i	kuₓ(LIL)-kuₓ(LIL)	rr	ku·ku
kurku[observe?]V/t	ku-kur	rR	ku·kur
kurku[observe?]V/t	kur-ku	Rr	kur·ku
kurku[observe?]V/t	kur-ku-ku	Rrr	kur·ku·ku
kušu[tired]V/i	kuš₂-kuš₂	rr	kuš·kuš
la[accuse]V/t	la₂-la₂	RR	la·la
la[hang]V/t	la-la	RR	la·la
la[hang]V/t	la₂-la₂	RR	la·la
