P010285	OIP 099, 351	uncertain (mod. Abu Salabikh)	IM —	AbS-T 0026						ED IIIa
P469530	CDLI Literary 000351 (Ninurta's Exploits [Lugale]) composite	unclear								Old Babylonian
P256802	CDLI Literary 000762, ex. 018	Nippur (mod. Nuffar)	UM 29-16-232							Old Babylonian
P259189	CBS 02106	Nippur (mod. Nuffar)	CBS 02106							Middle Babylonian
P356401	CDLI Literary 000350, ex. 050	Nippur (mod. Nuffar)	Penn —	3N-T0916,347						Old Babylonian
P357075	ZA 054, 088 DT 106	Nineveh (mod. Kuyunjik)	BM —		DT 106					Neo-Assyrian
P357136	CDLI Literary 000350, ex. 037	Nineveh (mod. Kuyunjik)	BM —		K 13804					Neo-Assyrian
P357171	BM 029356	uncertain (mod. uncertain)	BM 029356		1898-11-12, 0532					Achaemenid
P357173	BM 035946	uncertain (mod. uncertain)	BM 035946		Sp 0042					Old Babylonian
P357178	BM 038638	uncertain (mod. uncertain)	BM 038638		1880-11-12, 0522					Old Babylonian
P357209	RIMA 1.0.077.x1004, ex. 01	Nineveh (mod. Kuyunjik)	BM 123453		1932-12-10, 0396					Middle Assyrian
P363611	CTN 4, 197	Kalhu (mod. Nimrud/ Tawfiqiyah)	IM 067578	ND 04388						Neo-Assyrian
P462163	CDLI Literary 000362, ex. 009	Nippur (mod. Nuffar)	Ist Ni 04513							Old Babylonian
