P356137	CDLI Literary 000351, ex. 104	Penn Museum, Philadelphia, Pennsylvania, USA	Old Babylonian (ca. 1900-1600 BC)	Nippur (mod. Nuffar)	tablet	history	2 (1983) 017 P3	
P256941	CDLI Literary 000351, ex. 105	Penn Museum, Philadelphia, Pennsylvania, USA	Old Babylonian (ca. 1900-1600 BC)	Nippur (mod. Nuffar)	tablet	history	2 (1983) 017 U2	
P459572	CDLI Literary 000351, ex. 106	National Museum of Iraq, Baghdad, Iraq	Old Babylonian (ca. 1900-1600 BC)	Nippur (mod. Nuffar)	tablet	history	2 (1983) 017 W2	
P278322	CDLI Literary 000351, ex. 107	Penn Museum, Philadelphia, Pennsylvania, USA	Old Babylonian (ca. 1900-1600 BC)	Nippur (mod. Nuffar)	tablet	history	2 (1983) 018 B4	
P265528	CDLI Literary 000351, ex. 108	Penn Museum, Philadelphia, Pennsylvania, USA	Middle Babylonian (ca. 1400-1100 BC)	Nippur (mod. Nuffar)	tablet	history	2 (1983) 018 C4	
P278416	CDLI Literary 000351, ex. 109	Penn Museum, Philadelphia, Pennsylvania, USA	Old Babylonian (ca. 1900-1600 BC)	Nippur (mod. Nuffar)	tablet	history	2 (1983) 018 D4	
P268200	CDLI Literary 000351, ex. 110	Penn Museum, Philadelphia, Pennsylvania, USA	Old Babylonian (ca. 1900-1600 BC)	Nippur (mod. Nuffar)	tablet	history	2 (1983) 018 I4	
P276672	CDLI Literary 000351, ex. 111	Penn Museum, Philadelphia, Pennsylvania, USA	Old Babylonian (ca. 1900-1600 BC)	Nippur (mod. Nuffar)	tablet	history	2 (1983) 018 K4	
P276913	CDLI Literary 000351, ex. 112	Penn Museum, Philadelphia, Pennsylvania, USA	Old Babylonian (ca. 1900-1600 BC)	Nippur (mod. Nuffar)	tablet	history	2 (1983) 018 L4	
P356497	CDLI Literary 000351, ex. 113	Penn Museum, Philadelphia, Pennsylvania, USA	Old Babylonian (ca. 1900-1600 BC)	Nippur (mod. Nuffar)	tablet	history	2 (1983) 018 M4	
P356407	CDLI Literary 000351, ex. 114	Penn Museum, Philadelphia, Pennsylvania, USA	Old Babylonian (ca. 1900-1600 BC)	Nippur (mod. Nuffar)	tablet	history	2 (1983) 018 N4	
P356155	CDLI Literary 000351, ex. 115	Penn Museum, Philadelphia, Pennsylvania, USA	Old Babylonian (ca. 1900-1600 BC)	Nippur (mod. Nuffar)	tablet	history	2 (1983) 018 O4	
P356489	CDLI Literary 000351, ex. 116	Penn Museum, Philadelphia, Pennsylvania, USA	Old Babylonian (ca. 1900-1600 BC)	Nippur (mod. Nuffar)	tablet	history	2 (1983) 018 P4	
P256927	CDLI Literary 000351, ex. 117	Penn Museum, Philadelphia, Pennsylvania, USA	Old Babylonian (ca. 1900-1600 BC)	Nippur (mod. Nuffar)	tablet	history	2 (1983) 018 Q4	
P278179	CDLI Literary 000351, ex. 118	Penn Museum, Philadelphia, Pennsylvania, USA	Old Babylonian (ca. 1900-1600 BC)	Nippur (mod. Nuffar)	tablet	history	2 (1983) 018 T4	
