FSB 33	TMH 6, 010	Ur III	Nufar-Nippur	-	HS 2266	TMH 6, 123 / TMH 6, 151; http://www.cdli.ucla.edu/dl/photo/P273906.	5.0x4.5x2.3	gegen Namtar	Van Dijk/Geller 2003, 41-42
FSB 34A	TMH 6, 001A	Ur III	Nufar-Nippur	-	HS 2438	TMH 6, 125 / TMH 6, 147 / http://www.cdli.ucla.edu/dl/photo/P273911	9.0x4.5x2.5	gegen Kopfschmerz-Dämon	Van Dijk/Geller 2003, 11-14
FSB 34B	TMH 6, 001B = DME 052	Ur III	Nufar-Nippur	-	Ni 2187	HAV S.220	-	gegen Kopfschmerz-Dämon	Van Dijk/Geller 2003, 11-14
FSB 35	TMH 6, 021	Ur III	Nufar-Nippur	-	HS 1368a-b + 1571	TMH 6, 109 / TMH 6, 157; http://www.cdli.ucla.edu/dl/photo/P273883.	12.0x8.5	gegen NE.KA-Dämon	Van Dijk/Geller 2003, 70-72
FSB 36	DME 059	aAk	Nufar-Nippur	6N-T 145	NBC 11106	YOS 11, 73 / CM X 99	11.0x7.0x2.0	gegen Samana	Finkel 1998, 76-78
FSB 37	CM X 81 No. 4	Ur III	Tell Asmar — Ešnunna	-	A 7885	CM X 102 / CM X 101	-	gegen Samana	Finkel 1998, 81-83.
FSB 38	DME 071	Ur III	Herkunft unbekannt	-	AO 11276	ArOr 17/2 S.226 Pl.III-IV / CM X 98 Fig.1	-	gegen Samana	Finkel 1998, 72-76
FSB 39	TMH 6, 006	Ur III	Nufar-Nippur	-	HS 1555 + 1587	TMH 6, 117 / TMH 6, 149; http://www.cdli.ucla.edu/dl/photo/P145900	7.8x3.8x2.0	gegen Samana	Finkel 1998, 79-81. — Van Dijk/Geller 2003, 26-31.
FSB 40A	DME 023A	FD IIIb	Tell Mardich – Ebla	TM.75.G 2459 VIII 1-IX 3	INM -	ARET V 19 VIII 1-IX 3 / ARET V Taf. LIV-LV 19	13.8x12.8x3.0	gegen Udug-ḫul	Krebernik 1984, 122-124
FSB 40B	DME 023B	FD IIIb	Tell Mardich – Ebla	TM.75.G 1722 III 2-V 1	INM -	ARET V 10 III 2-V 1 / ARET V Taf. XLIX 10	6.6x6.3x2.0	gegen Udug-ḫul	Krebernik 1984, 122-124
