id_text	OB Liturgy	type	deity	designation
P355660	OB Liturgy	Uncertain	Inana-Dumuzi	NFT p. 211, AO 4346
P345118	OB Liturgy		Inana-Dumuzi	Ni 2369
P345166	OB Liturgy		Inana-Dumuzi	Ni 2377a
P345089	OB Liturgy		Inana-Dumuzi	Ni 2408
P345297	OB Liturgy		Inana-Dumuzi	Ni 2429
P345295	OB Liturgy		Inana-Dumuzi	Ni 2431
P345323	OB Liturgy		Inana-Dumuzi	Ni 2489
P345188	OB Liturgy		Inana-Dumuzi	Ni 3056
P266110	OB Liturgy		Inana-Dumuzi	Ni 4019 +
P343628	OB Liturgy		Inana-Dumuzi	Ni 4552
P464076	OB Liturgy		Inana-Dumuzi	Ni 4563
P343146	OB Liturgy		Inana-Dumuzi	Ni 4569
P343627	OB Liturgy		Inana-Dumuzi	Ni 9602
P464018	OB Liturgy		Inana-Dumuzi	Ni 9846
P343093	OB Liturgy		Nin-imma	Nin-imma A
P345786	OB Liturgy		Ninurta	OECT 05, 05
P345791	OB Liturgy	Balag	Aruru-Dingirmah	OECT 05, 10
P345797	OB Liturgy	Ershemma	Inana-Dumuzi	OECT 05, 16
P345799	OB Liturgy	Balag	Ninisina-Gula	OECT 05, 18
P345818	OB Liturgy	Balag	Enlil	OECT 05, 37
P345820	OB Liturgy	Ershemma	Nanna-Suen	OECT 05, 39
P345821	OB Liturgy	Ershemma	Inana-Dumuzi	OECT 05, 40
P345822	OB Liturgy	Balag	Inana-Dumuzi	OECT 05, 41
P345823	OB Liturgy	Balag	Inana-Dumuzi	OECT 05, 42
P345824	OB Liturgy	Uncertain	Uncertain	OECT 05, 43
P345825	OB Liturgy		Enlil	OECT 05, 44
P345826	OB Liturgy	Balag	Inana-Dumuzi	OECT 05, 45
P345827	OB Liturgy	Balag	Inana-Dumuzi	OECT 05, 46
P345830	OB Liturgy		Inana	OECT 05, 49
P345838	OB Liturgy	Balag	Ninisina-Gula	OECT 05, 57
P348907	OB Liturgy		Ninisina-Gula	OECT 11, 14
P392068	OB Liturgy	Ershemma	Ninisina-Gula	OIM A06742
P266500	OB Liturgy	Balag	Inana-Dumuzi	OIP 016, 030
P370896	OB Liturgy	Balag	Enki	OIP 016, 032
P262310	OB Liturgy	Balag	Enlil	OIP 016, 085
P262930	OB Liturgy	Balag	Inana-Dumuzi	OIP 016, 122
P260028	OB Liturgy	Balag	Ninisina-Gula	PBS 01/1, 05
P266508	OB Liturgy	Balag	Enlil	PBS 01/1, 08
P266483	OB Liturgy	Balag	Inana-Dumuzi	PBS 01/1, 10
P257610	OB Liturgy	Ershemma	Aruru-Dingirmah	PBS 10/2, 02
P257600	OB Liturgy	Ershemma	Martu	PBS 10/2, 03
P257677	OB Liturgy	Balag	Enlil	PBS 10/2, 13
P264319	OB Liturgy	Balag	Inana-Dumuzi	PBS 10/2, 17
P269760	OB Liturgy	Balag	Enlil	PBS 10/4, 05
P257700	OB Liturgy	Ershemma	Utu	PBS 12, 27
P343863	OB Liturgy		Inana-Dumuzi	PRAK B 046 + PRAK C 094
P343865	OB Liturgy	Ershemma	Inana-Dumuzi	PRAK B 048 +
P343877	OB Liturgy	Uncertain	Uncertain	PRAK B 060
P343927	OB Liturgy	Balag	Inana-Dumuzi	PRAK B 110
P343940	OB Liturgy	Balag	Uncertain	PRAK B 123
P344000	OB Liturgy	Ershemma	Inana-Dumuzi	PRAK B 184
P344002	OB Liturgy	Balag	Inana-Dumuzi	PRAK B 186
P344004	OB Liturgy	Balag	Inana-Dumuzi	PRAK B 188
P344008	OB Liturgy	Uncertain	Uncertain	PRAK B 192
P344049	OB Liturgy	Balag	Uncertain	PRAK B 233
P344056	OB Liturgy	Balag	Uncertain	PRAK B 240
P344060	OB Liturgy	Uncertain	Uncertain	PRAK B 244
P344071	OB Liturgy	Balag	Bau	PRAK B 255
P344080	OB Liturgy	Balag	Inana-Dumuzi	PRAK B 264
P344087	OB Liturgy	Balag	Inana-Dumuzi	PRAK B 271 +
P344093	OB Liturgy	Uncertain	Ninhursag	PRAK B 277
P344114	OB Liturgy	Uncertain	Inana-Dumuzi	PRAK B 298
P344123	OB Liturgy	Balag	Enlil	PRAK B 307
P344124	OB Liturgy	Uncertain	Uncertain	PRAK B 308
P344135	OB Liturgy	Ershemma	Uncertain	PRAK B 319
P344136	OB Liturgy	Uncertain	Uncertain	PRAK B 320
P344138	OB Liturgy	Ershemma	Ninisina-Gula	PRAK B 322 +
P344147	OB Liturgy	Balag	Ninisina-Gula	PRAK B 331 +
P344148	OB Liturgy	Balag	Inana-Dumuzi	PRAK B 332
P344158	OB Liturgy	Balag	Uncertain	PRAK B 342
P344160	OB Liturgy	Uncertain	Inana-Dumuzi	PRAK B 344
P344164	OB Liturgy	Balag	Inana-Dumuzi	PRAK B 348
P344166	OB Liturgy	Ershemma	Uncertain	PRAK B 350
P344167	OB Liturgy	Uncertain	Uncertain	PRAK B 351
P344168	OB Liturgy	Uncertain	Uncertain	PRAK B 352
P344173	OB Liturgy	Balag	Enlil	PRAK B 357
P344177	OB Liturgy	Ershemma	Inana-Dumuzi	PRAK B 361
P344178	OB Liturgy	Ershemma	Uncertain	PRAK B 362
P344180	OB Liturgy	Uncertain	Inana-Dumuzi	PRAK B 364
P344196	OB Liturgy	Ershemma	Inana-Dumuzi	PRAK B 380
P344205	OB Liturgy	Balag	Inana-Dumuzi	PRAK B 389
P344211	OB Liturgy	Ersehmma	Inana-Dumuzi	PRAK B 395
P344212	OB Liturgy	Balag	Inana-Dumuzi	PRAK B 396
P344221	OB Liturgy	Ershemma	Enlil	PRAK B 405
P344229	OB Liturgy	Ershemma	Utu	PRAK B 413
P344231	OB Liturgy	Balag	Ninisina-Gula	PRAK B 415
P344233	OB Liturgy	Balag	Inana-Dumuzi	PRAK B 417
P344236	OB Liturgy	Balag	Uncertain	PRAK B 420
P344237	OB Liturgy	Uncertain	Enlil	PRAK B 421
P344241	OB Liturgy	Balag	Inana-Dumuzi	PRAK B 425
P344263	OB Liturgy	Balag	Inana-Dumuzi	PRAK B 447
P344277	OB Liturgy	Balag	Bau	PRAK B 460
P344278	OB Liturgy	Ershemma	Inana-Dumuzi	PRAK B 461
P344280	OB Liturgy	Uncertain	Uncertain	PRAK B 463
P344282	OB Liturgy	Balag	Enlil	PRAK B 465
P344288	OB Liturgy	Balag	Aruru-Dingirmah	PRAK B 471
P344289	OB Liturgy	Balag	Inana-Dumuzi	PRAK B 471bis
P344880	OB Liturgy	Ershemma	Inana-Dumuzi	PRAK C 005
P344881	OB Liturgy	Balag	Inana-Dumuzi	PRAK C 006
P344882	OB Liturgy	Balag	Inana-Dumuzi	PRAK C 007
P345055	OB Liturgy	Balag	Inana-Dumuzi	PRAK C 008 +
P344884	OB Liturgy	Balag	Enlil	PRAK C 009
P344898	OB Liturgy	Uncertain	Ninisina-Gula	PRAK C 023 + PRAK C 032
